Acebutolol	16,20,27,28,44,52,64,66,80,86,114,125,168,191,195,197,203,205,212,224,253,272,278,279,284,293,296,298,309,324,338,381,386,392,397,412,422,435,458,462,463,471,482,496,521,541,556,596,601,611,635,637,638,649,650,702,711,720,722,733,734,735,742,744,759,808,819,822,832,842,850,876,914,920,929,932,933,959,968,975,977,1014,1041,1070,1073,1081,1106,1134,1135,1152,1166,1173,1181,1184,1190,1216,1225,1232,1237,1306,1310,1329,1364,1367,1370,1372,1376,1379,1387,1395,1418,1420,1423,1428,1452,1463,1485,1486,1505,1515,1519,1549,1551,1570,1585,1620,1621,1640,1641,1659,1680,1703,1709,1712,1717,1733,1742,1769,1776,1780,1784,1801,1802,1815,1847,1848,1854,1860,1874,1916,1921,1924,1947,1957,1973,1992,2006,2020,2024,2032,2044
Alcohol	278,541,611,808,832,1372,1428,1641,1801
Aldosterone	29,34,65,66,80,107,110,150,155,163,194,198,205,208,217,250,271,278,321,376,386,408,418,435,458,539,540,541,601,611,618,677,690,698,793,808,832,842,863,1042,1079,1132,1134,1150,1187,1200,1241,1251,1282,1308,1316,1372,1376,1391,1395,1401,1419,1420,1428,1444,1481,1505,1519,1551,1556,1574,1580,1605,1629,1641,1700,1703,1718,1725,1758,1769,1772,1776,1780,1800,1801,1820,1835,1896,1907,1924,1978,1999,2017,2032
Antipyrine	28,53,59,100,106,168,203,222,278,309,321,333,346,381,386,392,407,482,490,496,537,541,566,610,637,671,711,721,722,735,832,884,900,911,965,977,989,1028,1036,1041,1106,1128,1181,1193,1232,1249,1329,1357,1367,1370,1372,1379,1393,1418,1428,1452,1463,1549,1640,1659,1661,1680,1690,1712,1717,1730,1733,1758,1773,1776,1784,1874,1976,1990,2044
Ascorbic	7,21,65,66,80,107,110,125,150,153,155,217,221,231,250,278,279,319,386,435,458,514,539,541,544,611,651,793,800,808,822,832,842,844,912,959,965,972,1037,1042,1134,1187,1198,1216,1234,1251,1308,1316,1324,1365,1370,1372,1376,1395,1420,1428,1444,1505,1519,1523,1574,1605,1641,1660,1744,1758,1769,1780,1801,1839,1849,1868,1924,1990,1992
Atenolol	28,44,64,66,80,86,197,203,212,272,278,279,293,296,309,324,338,365,392,397,412,422,435,458,462,470,471,491,493,496,541,556,566,601,611,635,637,650,653,702,720,733,734,735,759,762,808,817,822,832,914,920,929,932,933,959,968,975,977,1025,1041,1070,1073,1081,1106,1134,1135,1152,1173,1181,1190,1216,1232,1310,1329,1364,1372,1376,1379,1395,1411,1418,1420,1428,1452,1472,1485,1505,1515,1519,1549,1570,1585,1620,1641,1659,1663,1680,1703,1709,1712,1717,1733,1742,1769,1776,1784,1801,1815,1847,1854,1860,1874,1924,1947,1992,2006,2013,2020,2024,2044
Atropine	4,21,28,29,37,44,64,66,70,80,86,100,106,153,155,163,194,199,203,205,208,215,225,271,272,278,293,296,309,319,324,345,365,392,416,418,427,435,447,465,471,486,496,514,539,540,541,544,556,599,611,637,651,665,698,735,750,755,759,763,797,808,832,841,842,876,912,918,929,933,965,968,975,977,1025,1037,1041,1042,1051,1063,1070,1073,1081,1099,1106,1112,1128,1134,1150,1171,1173,1181,1187,1190,1216,1225,1232,1291,1308,1318,1319,1324,1329,1364,1370,1372,1376,1377,1379,1391,1395,1401,1418,1420,1428,1435,1452,1472,1485,1505,1519,1528,1549,1579,1603,1604,1620,1641,1653,1659,1660,1680,1703,1709,1712,1717,1730,1733,1758,1769,1773,1776,1780,1784,1801,1860,1868,1874,1883,1886,1924,1931,1947,1992,2006,2013,2044
Baclofen	21,28,58,64,66,70,80,86,203,222,236,278,293,309,319,333,349,379,392,435,471,491,493,496,541,547,599,611,637,653,714,735,759,808,832,842,884,933,975,977,989,1041,1042,1070,1073,1096,1101,1106,1112,1173,1181,1190,1193,1216,1225,1232,1234,1329,1364,1372,1376,1379,1393,1395,1418,1428,1452,1485,1505,1519,1549,1641,1659,1663,1680,1690,1709,1712,1717,1733,1769,1776,1780,1784,1790,1801,1833,1849,1874,1924,1926,1947,1962,1992,2006,2028,2032,2044
Bicuculliine	1,4,16,20,21,28,37,44,64,70,72,80,86,155,168,192,195,199,203,221,222,231,264,272,278,279,285,290,293,296,298,309,311,326,329,338,345,371,373,376,392,397,412,418,420,422,435,447,460,462,463,470,471,486,491,493,496,498,501,514,515,524,541,566,568,601,610,611,616,633,637,643,653,654,702,711,712,717,722,725,733,734,735,744,749,759,762,806,808,817,832,848,876,884,892,914,920,929,932,933,937,945,958,959,962,965,967,970,975,977,982,985,1010,1030,1033,1037,1041,1042,1051,1053,1070,1073,1099,1106,1134,1142,1152,1166,1171,1173,1181,1190,1198,1210,1213,1216,1232,1234,1240,1243,1249,1251,1273,1308,1317,1324,1329,1357,1364,1370,1372,1379,1380,1395,1407,1411,1418,1419,1423,1427,1428,1429,1435,1444,1452,1485,1504,1505,1523,1526,1549,1556,1570,1584,1590,1603,1604,1612,1621,1641,1659,1660,1663,1675,1680,1703,1709,1712,1717,1733,1748,1754,1758,1769,1776,1784,1789,1790,1801,1806,1815,1832,1839,1848,1854,1874,1885,1886,1924,1926,1932,1957,1990,1992,2006,2015,2017,2024,2044
Bromperidol	7,20,28,37,58,64,65,66,70,80,86,106,155,188,195,199,203,222,272,278,285,293,296,298,309,311,324,349,373,392,408,418,427,435,448,465,471,486,492,496,515,540,541,543,544,556,611,616,637,671,711,712,717,735,750,759,808,832,842,911,912,929,933,946,965,968,975,977,982,1041,1063,1070,1073,1096,1098,1106,1111,1112,1128,1134,1166,1171,1173,1181,1185,1187,1190,1200,1216,1225,1232,1240,1278,1308,1318,1329,1364,1370,1372,1376,1377,1379,1380,1395,1418,1419,1420,1428,1452,1469,1485,1505,1519,1549,1579,1590,1603,1604,1620,1621,1638,1641,1659,1680,1709,1712,1717,1730,1733,1748,1749,1758,1769,1776,1780,1784,1801,1847,1848,1860,1874,1883,1907,1924,1931,1947,1962,1972,1992,1994,2006,2028,2032,2044
